"GEO";"GEO_OBJECT";"SEX";"AGE";"EP_MEASURE";"OBS_STATUS_FR";TIME_PERIOD;OBS_VALUE
"52";"DEP";"_T";"_T";"POP";"D";1996;198275
"91";"DEP";"_T";"_T";"POP";"D";1996;1131399
"84";"DEP";"_T";"_T";"POP";"D";1996;489330
"36";"DEP";"_T";"_T";"POP";"D";1996;233375
"22";"DEP";"_T";"_T";"POP";"D";1996;536856
"92";"DEP";"_T";"_T";"POP";"D";1996;1406949
"51";"DEP";"_T";"_T";"POP";"D";1996;565544
"89";"DEP";"_T";"_T";"POP";"D";1996;330730
"64";"DEP";"_T";"_T";"POP";"D";1996;589059
"42";"DEP";"_T";"_T";"POP";"D";1996;738670
"972";"DEP";"_T";"_T";"POP";"D";1996;370818
"56";"DEP";"_T";"_T";"POP";"D";1996;632042
"26";"DEP";"_T";"_T";"POP";"D";1996;429211
"16";"DEP";"_T";"_T";"POP";"D";1996;340786
"59";"DEP";"_T";"_T";"POP";"D";1996;2552731
"04";"DEP";"_T";"_T";"POP";"D";1996;137453
"02";"DEP";"_T";"_T";"POP";"D";1996;538017
"88";"DEP";"_T";"_T";"POP";"D";1996;383701
"63";"DEP";"_T";"_T";"POP";"D";1996;600840
"54";"DEP";"_T";"_T";"POP";"D";1996;717201
"33";"DEP";"_T";"_T";"POP";"D";1996;1263427
"74";"DEP";"_T";"_T";"POP";"D";1996;613467
"71";"DEP";"_T";"_T";"POP";"D";1996;551555
"29";"DEP";"_T";"_T";"POP";"D";1996;844116
"77";"DEP";"_T";"_T";"POP";"D";1996;1169827
"31";"DEP";"_T";"_T";"POP";"D";1996;1004166
"73";"DEP";"_T";"_T";"POP";"D";1996;363987
"76";"DEP";"_T";"_T";"POP";"D";1996;1239937
"05";"DEP";"_T";"_T";"POP";"D";1996;118526
"10";"DEP";"_T";"_T";"POP";"D";1996;292381
"65";"DEP";"_T";"_T";"POP";"D";1996;223560
"75";"DEP";"_T";"_T";"POP";"D";1996;2116512
"39";"DEP";"_T";"_T";"POP";"D";1996;250869
"37";"DEP";"_T";"_T";"POP";"D";1996;546156
"24";"DEP";"_T";"_T";"POP";"D";1996;386685
"45";"DEP";"_T";"_T";"POP";"D";1996;608331
"57";"DEP";"_T";"_T";"POP";"D";1996;1020258
"90";"DEP";"_T";"_T";"POP";"D";1996;136975
"79";"DEP";"_T";"_T";"POP";"D";1996;345255
"69";"DEP";"_T";"_T";"POP";"D";1996;1556437
"03";"DEP";"_T";"_T";"POP";"D";1996;349376
"2B";"DEP";"_T";"_T";"POP";"D";1996;140003
"80";"DEP";"_T";"_T";"POP";"D";1996;553038
"60";"DEP";"_T";"_T";"POP";"D";1996;760914
"68";"DEP";"_T";"_T";"POP";"D";1996;696784
"18";"DEP";"_T";"_T";"POP";"D";1996;316913
"27";"DEP";"_T";"_T";"POP";"D";1996;534513
"93";"DEP";"_T";"_T";"POP";"D";1996;1389668
"70";"DEP";"_T";"_T";"POP";"D";1996;229104
"67";"DEP";"_T";"_T";"POP";"D";1996;1002555
"87";"DEP";"_T";"_T";"POP";"D";1996;354415
"41";"DEP";"_T";"_T";"POP";"D";1996;312590
"32";"DEP";"_T";"_T";"POP";"D";1996;172560
"50";"DEP";"_T";"_T";"POP";"D";1996;480267
"58";"DEP";"_T";"_T";"POP";"D";1996;228568
"973";"DEP";"_T";"_T";"POP";"D";1996;139848
"974";"DEP";"_T";"_T";"POP";"D";1996;668915
"44";"DEP";"_T";"_T";"POP";"D";1996;1105020
"38";"DEP";"_T";"_T";"POP";"D";1996;1067838
"06";"DEP";"_T";"_T";"POP";"D";1996;1000154
"01";"DEP";"_T";"_T";"POP";"D";1996;499310
"47";"DEP";"_T";"_T";"POP";"D";1996;304064
"81";"DEP";"_T";"_T";"POP";"D";1996;341940
"11";"DEP";"_T";"_T";"POP";"D";1996;304530
"23";"DEP";"_T";"_T";"POP";"D";1996;126359
"83";"DEP";"_T";"_T";"POP";"D";1996;871505
"85";"DEP";"_T";"_T";"POP";"D";1996;528344
"35";"DEP";"_T";"_T";"POP";"D";1996;840650
"61";"DEP";"_T";"_T";"POP";"D";1996;293516
"15";"DEP";"_T";"_T";"POP";"D";1996;153777
"34";"DEP";"_T";"_T";"POP";"D";1996;861681
"55";"DEP";"_T";"_T";"POP";"D";1996;194622
"25";"DEP";"_T";"_T";"POP";"D";1996;496848
"971";"DEP";"_T";"_T";"POP";"D";1996;371873
"94";"DEP";"_T";"_T";"POP";"D";1996;1221145
"14";"DEP";"_T";"_T";"POP";"D";1996;637669
"86";"DEP";"_T";"_T";"POP";"D";1996;393845
"2A";"DEP";"_T";"_T";"POP";"D";1996;119165
"66";"DEP";"_T";"_T";"POP";"D";1996;381189
"95";"DEP";"_T";"_T";"POP";"D";1996;1097809
"46";"DEP";"_T";"_T";"POP";"D";1996;158363
"07";"DEP";"_T";"_T";"POP";"D";1996;282838
"09";"DEP";"_T";"_T";"POP";"D";1996;136219
"28";"DEP";"_T";"_T";"POP";"D";1996;406961
"72";"DEP";"_T";"_T";"POP";"D";1996;523975
"19";"DEP";"_T";"_T";"POP";"D";1996;234541
"82";"DEP";"_T";"_T";"POP";"D";1996;204642
"49";"DEP";"_T";"_T";"POP";"D";1996;724324
"40";"DEP";"_T";"_T";"POP";"D";1996;321240
"21";"DEP";"_T";"_T";"POP";"D";1996;504022
"78";"DEP";"_T";"_T";"POP";"D";1996;1350539
"08";"DEP";"_T";"_T";"POP";"D";1996;292822
"62";"DEP";"_T";"_T";"POP";"D";1996;1438800
"53";"DEP";"_T";"_T";"POP";"D";1996;282376
"43";"DEP";"_T";"_T";"POP";"D";1996;206895
"13";"DEP";"_T";"_T";"POP";"D";1996;1809226
"30";"DEP";"_T";"_T";"POP";"D";1996;608972
"12";"DEP";"_T";"_T";"POP";"D";1996;265492
"17";"DEP";"_T";"_T";"POP";"D";1996;543835
"48";"DEP";"_T";"_T";"POP";"D";1996;73033
"78";"DEP";"_T";"_T";"POP";"D";1997;1353180
"31";"DEP";"_T";"_T";"POP";"D";1997;1016846
"64";"DEP";"_T";"_T";"POP";"D";1997;591529
"94";"DEP";"_T";"_T";"POP";"D";1997;1222429
"51";"DEP";"_T";"_T";"POP";"D";1997;565798
"76";"DEP";"_T";"_T";"POP";"D";1997;1239146
"79";"DEP";"_T";"_T";"POP";"D";1997;344760
"77";"DEP";"_T";"_T";"POP";"D";1997;1176289
"82";"DEP";"_T";"_T";"POP";"D";1997;205208
"24";"DEP";"_T";"_T";"POP";"D";1997;387393
"11";"DEP";"_T";"_T";"POP";"D";1997;305604
"19";"DEP";"_T";"_T";"POP";"D";1997;233767
"57";"DEP";"_T";"_T";"POP";"D";1997;1022509
"95";"DEP";"_T";"_T";"POP";"D";1997;1100050
"92";"DEP";"_T";"_T";"POP";"D";1997;1412292
"23";"DEP";"_T";"_T";"POP";"D";1997;125856
"08";"DEP";"_T";"_T";"POP";"D";1997;292175
"01";"DEP";"_T";"_T";"POP";"D";1997;504201
"73";"DEP";"_T";"_T";"POP";"D";1997;366909
"35";"DEP";"_T";"_T";"POP";"D";1997;848726
"28";"DEP";"_T";"_T";"POP";"D";1997;407793
"61";"DEP";"_T";"_T";"POP";"D";1997;293414
"74";"DEP";"_T";"_T";"POP";"D";1997;619963
"39";"DEP";"_T";"_T";"POP";"D";1997;250659
"09";"DEP";"_T";"_T";"POP";"D";1997;136544
"52";"DEP";"_T";"_T";"POP";"D";1997;197242
"56";"DEP";"_T";"_T";"POP";"D";1997;635229
"03";"DEP";"_T";"_T";"POP";"D";1997;348200
"16";"DEP";"_T";"_T";"POP";"D";1997;340431
"53";"DEP";"_T";"_T";"POP";"D";1997;283126
"25";"DEP";"_T";"_T";"POP";"D";1997;497719
"69";"DEP";"_T";"_T";"POP";"D";1997;1561309
"66";"DEP";"_T";"_T";"POP";"D";1997;385113
"75";"DEP";"_T";"_T";"POP";"D";1997;2110869
"59";"DEP";"_T";"_T";"POP";"D";1997;2553508
"27";"DEP";"_T";"_T";"POP";"D";1997;537186
"89";"DEP";"_T";"_T";"POP";"D";1997;331697
"85";"DEP";"_T";"_T";"POP";"D";1997;531497
"36";"DEP";"_T";"_T";"POP";"D";1997;232829
"04";"DEP";"_T";"_T";"POP";"D";1997;138373
"42";"DEP";"_T";"_T";"POP";"D";1997;735287
"71";"DEP";"_T";"_T";"POP";"D";1997;549365
"37";"DEP";"_T";"_T";"POP";"D";1997;549262
"22";"DEP";"_T";"_T";"POP";"D";1997;539324
"58";"DEP";"_T";"_T";"POP";"D";1997;227623
"91";"DEP";"_T";"_T";"POP";"D";1997;1131514
"13";"DEP";"_T";"_T";"POP";"D";1997;1815271
"14";"DEP";"_T";"_T";"POP";"D";1997;641868
"29";"DEP";"_T";"_T";"POP";"D";1997;847075
"80";"DEP";"_T";"_T";"POP";"D";1997;553670
"81";"DEP";"_T";"_T";"POP";"D";1997;342116
"60";"DEP";"_T";"_T";"POP";"D";1997;763991
"974";"DEP";"_T";"_T";"POP";"D";1997;680185
"05";"DEP";"_T";"_T";"POP";"D";1997;119433
"971";"DEP";"_T";"_T";"POP";"D";1997;376164
"67";"DEP";"_T";"_T";"POP";"D";1997;1009849
"973";"DEP";"_T";"_T";"POP";"D";1997;144937
"47";"DEP";"_T";"_T";"POP";"D";1997;304591
"34";"DEP";"_T";"_T";"POP";"D";1997;872270
"972";"DEP";"_T";"_T";"POP";"D";1997;373873
"41";"DEP";"_T";"_T";"POP";"D";1997;313660
"38";"DEP";"_T";"_T";"POP";"D";1997;1076887
"30";"DEP";"_T";"_T";"POP";"D";1997;612981
"33";"DEP";"_T";"_T";"POP";"D";1997;1270159
"12";"DEP";"_T";"_T";"POP";"D";1997;265027
"45";"DEP";"_T";"_T";"POP";"D";1997;612369
"02";"DEP";"_T";"_T";"POP";"D";1997;537751
"17";"DEP";"_T";"_T";"POP";"D";1997;547041
"87";"DEP";"_T";"_T";"POP";"D";1997;354424
"2B";"DEP";"_T";"_T";"POP";"D";1997;140385
"93";"DEP";"_T";"_T";"POP";"D";1997;1388804
"86";"DEP";"_T";"_T";"POP";"D";1997;395846
"10";"DEP";"_T";"_T";"POP";"D";1997;292712
"07";"DEP";"_T";"_T";"POP";"D";1997;283811
"72";"DEP";"_T";"_T";"POP";"D";1997;526451
"46";"DEP";"_T";"_T";"POP";"D";1997;159074
"83";"DEP";"_T";"_T";"POP";"D";1997;882587
"70";"DEP";"_T";"_T";"POP";"D";1997;229186
"18";"DEP";"_T";"_T";"POP";"D";1997;316121
"68";"DEP";"_T";"_T";"POP";"D";1997;700930
"88";"DEP";"_T";"_T";"POP";"D";1997;382949
"55";"DEP";"_T";"_T";"POP";"D";1997;194338
"50";"DEP";"_T";"_T";"POP";"D";1997;480858
"90";"DEP";"_T";"_T";"POP";"D";1997;137155
"54";"DEP";"_T";"_T";"POP";"D";1997;716448
"21";"DEP";"_T";"_T";"POP";"D";1997;505716
"15";"DEP";"_T";"_T";"POP";"D";1997;152740
"2A";"DEP";"_T";"_T";"POP";"D";1997;118712
"32";"DEP";"_T";"_T";"POP";"D";1997;172401
"43";"DEP";"_T";"_T";"POP";"D";1997;207555
