"Libellé";"Démographie - Population au début du mois - France métropolitaine";"Codes"
"idBank";"000436387";""
"Dernière mise à jour";"29/11/2024 12:00";""
"Période";"";""
"2022-08";"65843";"P"
"2022-07";"65820";"P"
"2022-06";"65794";"P"
"2022-05";"65770";"P"
"2022-04";"65756";"P"
"2022-03";"65741";"P"
"2022-02";"65729";"P"
"2022-01";"65722";"P"
"2021-12";"65710";"P"
"2021-11";"65690";"P"
"2021-10";"65666";"P"
"2021-09";"65639";"P"
"2021-08";"65612";"P"
"2021-07";"65584";"P"
"2021-06";"65558";"P"
"2021-05";"65538";"P"
"2021-04";"65524";"P"
"2021-03";"65510";"P"
"2021-02";"65504";"P"
"2021-01";"65505";"A"
"2020-12";"65497";"A"
"2020-11";"65490";"A"
"2020-10";"65469";"A"
"2020-09";"65441";"A"
"2020-08";"65413";"A"
"2020-07";"65380";"A"
"2020-06";"65351";"A"
"2020-05";"65324";"A"
"2020-04";"65319";"A"
"2020-03";"65307";"A"
"2020-02";"65288";"A"
"2020-01";"65269";"A"
"2019-12";"65258";"A"
"2019-11";"65246";"A"
"2019-10";"65227";"A"
"2019-09";"65206";"A"
"2019-08";"65184";"A"
"2019-07";"65162";"A"
"2019-06";"65142";"A"
"2019-05";"65126";"A"
"2019-04";"65113";"A"
"2019-03";"65104";"A"
"2019-02";"65102";"A"
"2019-01";"65097";"A"
"2018-12";"65078";"A"
"2018-11";"65056";"A"
"2018-10";"65030";"A"
"2018-09";"65002";"A"
"2018-08";"64974";"A"
"2018-07";"64946";"A"
"2018-06";"64918";"A"
"2018-05";"64893";"A"
"2018-04";"64876";"A"
"2018-03";"64868";"A"
"2018-02";"64856";"A"
"2018-01";"64844";"A"
"2017-12";"64833";"A"
"2017-11";"64816";"A"
"2017-10";"64795";"A"
"2017-09";"64772";"A"
"2017-08";"64748";"A"
"2017-07";"64722";"A"
"2017-06";"64700";"A"
"2017-05";"64679";"A"
"2017-04";"64663";"A"
"2017-03";"64647";"A"
"2017-02";"64638";"A"
"2017-01";"64639";"A"
"2016-12";"64634";"A"
"2016-11";"64621";"A"
"2016-10";"64605";"A"
"2016-09";"64585";"A"
"2016-08";"64564";"A"
"2016-07";"64542";"A"
"2016-06";"64522";"A"
"2016-05";"64506";"A"
"2016-04";"64496";"A"
"2016-03";"64489";"A"
"2016-02";"64479";"A"
"2016-01";"64469";"A"
"2015-12";"64456";"A"
"2015-11";"64440";"A"
"2015-10";"64424";"A"
"2015-09";"64404";"A"
"2015-08";"64383";"A"
"2015-07";"64363";"A"
"2015-06";"64344";"A"
"2015-05";"64326";"A"
"2015-04";"64314";"A"
"2015-03";"64307";"A"
"2015-02";"64307";"A"
"2015-01";"64301";"A"
"2014-12";"64283";"A"
"2014-11";"64263";"A"
"2014-10";"64238";"A"
"2014-09";"64209";"A"
"2014-08";"64182";"A"
"2014-07";"64154";"A"
"2014-06";"64128";"A"
"2014-05";"64105";"A"
"2014-04";"64085";"A"
"2014-03";"64066";"A"
"2014-02";"64048";"A"
"2014-01";"64028";"A"
"2013-12";"64001";"A"
"2013-11";"63972";"A"
