Titre,Date,ID,date_version
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_09-12-1986,2022-08-18
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_23-07-1987,2022-08-11
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_24-07-1987,2022-08-11
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_31-12-1989,2022-08-06
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_14-01-1989,2022-08-04
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_24-03-1988,2022-08-04
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_14-07-1989,2022-08-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_06-01-1988,2022-08-01
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_23-01-1988,2022-07-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_28-12-1991,2022-07-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_12-07-1991,2022-07-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-10-1991,2022-07-31
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_13-07-1990,2022-08-04
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-01-1990,2022-07-30
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_14-07-1990,2022-07-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-01-1991,2022-07-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_20-07-1993,2022-07-22
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-03-1993,2022-07-30
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_03-07-1992,2022-07-27
Code pénal (ancien),1810-02-12T00:00:00.000+0000,LEGITEXT000006071029_01-01-1993,2022-07-31
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_24-03-2012,2022-07-20
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_08-03-2012,2022-07-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_14-03-2012,2022-07-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_23-12-2012,2022-07-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-04-2013,2022-07-08
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_29-03-2012,2022-07-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_27-04-2012,2022-07-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-05-2012,2022-07-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-05-2012,2022-07-06
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-10-2013,2022-06-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-08-2013,2022-06-16
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_11-08-2010,2022-07-01
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-10-2010,2022-06-29
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-03-2012,2022-06-09
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_13-10-2010,2022-06-13
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_07-01-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_03-02-2012,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_29-01-2012,2022-06-23
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_19-05-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_02-07-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_09-07-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-09-2011,2022-06-20
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_08-09-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_17-09-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_05-11-2011,2022-06-03
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_20-10-2011,2022-07-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_16-03-2011,2022-06-04
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_01-04-2011,2022-06-25
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_06-08-2014,2022-05-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_08-12-2013,2022-06-18
Code pénal,1990-09-01T00:00:00.000+0000,LEGITEXT000006070719_20-12-2013,2022-05-22
